T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.92,11.87,2.47,5.54,2.83,0.196,0.062,0.032,6.27
51.86,13.47,2.76,6.07,2.71,0.545,0.059,0.031,5.93
52.55,12.60,2.53,5.19,2.73,0.180,0.060,0.034,6.47
52.14,13.00,2.75,5.54,2.69,0.582,0.059,0.034,6.27
53.30,11.66,2.16,5.14,2.74,0.113,0.061,0.031,6.20
53.60,11.38,2.09,5.08,2.69,0.080,0.058,0.030,5.80
53.39,11.67,2.25,4.74,2.61,0.065,0.056,0.032,5.93
53.48,11.36,2.22,5.15,2.64,0.063,0.058,0.034,6.13
53.28,11.30,2.29,5.69,2.67,0.078,0.055,0.038,6.33
53.52,11.17,2.05,5.74,2.70,0.070,0.053,0.033,6.60
53.65,11.04,2.06,5.58,2.65,0.115,0.054,0.032,6.80
53.47,11.22,2.19,5.80,2.67,0.168,0.057,0.033,5.60
53.48,11.31,2.26,5.69,2.67,0.116,0.058,0.033,6.33
53.84,10.59,2.14,5.48,2.79,0.077,0.060,0.033,6.60
53.67,11.00,2.01,5.51,2.76,0.067,0.057,0.032,6.93
53.77,10.90,2.08,5.28,2.72,0.056,0.059,0.033,6.73
53.40,11.33,2.37,5.45,2.62,0.063,0.056,0.035,6.53
53.47,11.25,2.20,5.28,2.69,0.091,0.057,0.032,6.87
53.44,11.20,2.31,5.40,2.65,0.054,0.055,0.032,6.73
53.56,11.03,2.20,5.12,2.64,0.049,0.053,0.035,6.93
53.61,10.84,2.15,5.57,2.71,0.061,0.055,0.036,6.20
53.11,11.41,2.19,5.99,2.74,0.065,0.056,0.033,6.73
53.40,11.19,2.30,5.78,2.65,0.079,0.056,0.032,6.07
52.95,11.72,2.46,6.25,2.72,0.052,0.059,0.032,6.93
53.29,11.47,2.22,5.73,2.67,0.050,0.055,0.034,6.87
53.22,11.18,2.30,6.29,2.79,0.066,0.054,0.032,6.67
52.78,11.68,2.46,6.82,2.86,0.069,0.058,0.032,6.73
52.96,11.45,2.39,6.20,2.80,0.054,0.053,0.037,6.47
52.64,12.20,2.51,6.19,2.75,0.055,0.052,0.035,6.47
52.60,11.91,2.57,6.54,2.74,0.066,0.051,0.037,6.33
52.88,11.76,2.37,6.54,2.78,0.055,0.051,0.032,6.20
52.99,11.57,2.34,6.42,2.78,0.049,0.051,0.032,6.60
52.77,11.95,2.51,6.31,2.72,0.067,0.055,0.032,6.53
52.54,12.38,2.54,6.48,2.74,0.076,0.051,0.031,6.80
53.10,11.58,2.21,6.19,2.74,0.055,0.054,0.032,5.93
53.00,11.86,2.35,5.92,2.59,0.048,0.054,0.031,6.20
52.91,12.05,2.40,5.73,2.62,0.050,0.052,0.032,5.87
53.19,11.92,2.43,5.48,2.61,0.167,0.057,0.031,6.07
53.23,11.81,2.42,5.46,2.52,0.056,0.056,0.031,6.27
53.73,12.07,2.36,5.00,2.52,0.047,0.058,0.031,6.33
53.66,11.40,2.21,4.36,2.52,0.057,0.053,0.032,6.13
53.54,11.40,2.31,4.44,2.52,0.062,0.053,0.033,6.27
52.71,12.55,2.67,5.18,2.53,0.270,0.053,0.032,6.13
